Attribute,Description
RXADHS_7,KBM-Flags-RX-Adherence-Supplement-7
RXADHS_8,KBM-Flags-RX-Adherence-Supplement-8
RXADHS_9,KBM-Flags-RX-Adherence-Supplement-9-Least Likely
RXBRAND,KBM-Decile-RX - Brand Preference
RXBRAND_0,KBM-Flags-RX-Brand Preference-0-Most Likely
RXBRAND_1,KBM-Flags-RX-Brand Preference-1
RXBRAND_2,KBM-Flags-RX-Brand Preference-2
RXBRAND_3,KBM-Flags-RX-Brand Preference-3
RXBRAND_4,KBM-Flags-RX-Brand Preference-4
RXBRAND_5,KBM-Flags-RX-Brand Preference-5
RXBRAND_6,KBM-Flags-RX-Brand Preference-6
RXBRAND_7,KBM-Flags-RX-Brand Preference-7
RXBRAND_8,KBM-Flags-RX-Brand Preference-8
RXBRAND_9,KBM-Flags-RX-Brand Preference-9-Least Likely
RXMAINT,KBM-Decile-RX - Maintenance Meds
RXMAINT_0,KBM-Flags-RX-Maintenance Meds-0-Most Likely
RXMAINT_1,KBM-Flags-RX-Maintenance Meds-1
RXMAINT_2,KBM-Flags-RX-Maintenance Meds-2
RXMAINT_3,KBM-Flags-RX-Maintenance Meds-3
RXMAINT_4,KBM-Flags-RX-Maintenance Meds-4
RXMAINT_5,KBM-Flags-RX-Maintenance Meds-5
RXMAINT_6,KBM-Flags-RX-Maintenance Meds-6
RXMAINT_7,KBM-Flags-RX-Maintenance Meds-7
RXMAINT_8,KBM-Flags-RX-Maintenance Meds-8
RXMAINT_9,KBM-Flags-RX-Maintenance Meds-9-Least Likely
RXNUM,KBM-Decile-RX - Number of Drugs
RXSOWRX,KBM-Decile-RX - Share of Wallet - Prescriptions
RXSOWRX_0,KBM-Flags-RX-Share of Wallet-Prescriptions-0-Most Likely
RXSOWRX_1,KBM-Flags-RX-Share of Wallet-Prescriptions-1
RXSOWRX_2,KBM-Flags-RX-Share of Wallet-Prescriptions-2
RXSOWRX_3,KBM-Flags-RX-Share of Wallet-Prescriptions-3
RXSOWRX_4,KBM-Flags-RX-Share of Wallet-Prescriptions-4
RXSOWRX_5,KBM-Flags-RX-Share of Wallet-Prescriptions-5
RXSOWRX_6,KBM-Flags-RX-Share of Wallet-Prescriptions-6
RXSOWRX_7,KBM-Flags-RX-Share of Wallet-Prescriptions-7
RXSOWRX_8,KBM-Flags-RX-Share of Wallet-Prescriptions-8
RXSOWRX_9,KBM-Flags-RX-Share of Wallet-Prescriptions-9-Least Likely
RXSUPP,KBM-Decile-RX - Supplement Usage
RXSUPP_0,KBM-Flags-RX-Supplement Usage-0-Most Likely
RXSUPP_1,KBM-Flags-RX-Supplement Usage-1
RXSUPP_2,KBM-Flags-RX-Supplement Usage-2
RXSUPP_3,KBM-Flags-RX-Supplement Usage-3
RXSUPP_4,KBM-Flags-RX-Supplement Usage-4
RXSUPP_5,KBM-Flags-RX-Supplement Usage-5
RXSUPP_6,KBM-Flags-RX-Supplement Usage-6
RXSUPP_7,KBM-Flags-RX-Supplement Usage-7
RXSUPP_8,KBM-Flags-RX-Supplement Usage-8
RXSUPP_9,KBM-Flags-RX-Supplement Usage-9-Least Likely
MEDIAIDD,KBM-Decile-Media Influence - Digital Display
MEDIAIDD_0,KBM-Flags-Media Influence-Digital Display-0-Most Likely
MEDIAIDD_1,KBM-Flags-Media Influence-Digital Display-1
MEDIAIDD_2,KBM-Flags-Media Influence-Digital Display-2
MEDIAIDD_3,KBM-Flags-Media Influence-Digital Display-3
MEDIAIDD_4,KBM-Flags-Media Influence-Digital Display-4
MEDIAIDD_5,KBM-Flags-Media Influence-Digital Display-5
MEDIAIDD_6,KBM-Flags-Media Influence-Digital Display-6
MEDIAIDD_7,KBM-Flags-Media Influence-Digital Display-7
MEDIAIDD_8,KBM-Flags-Media Influence-Digital Display-8
MEDIAIDD_9,KBM-Flags-Media Influence-Digital Display-9-Least Likely
MEDIAIOD,KBM-Decile-Media Influence - Owned Digital
MEDIAIOD_0,KBM-Flags-Media Influence-Owned Digital-0-Most Likely
MEDIAIOD_1,KBM-Flags-Media Influence-Owned Digital-1
MEDIAIOD_2,KBM-Flags-Media Influence-Owned Digital-2
MEDIAIOD_3,KBM-Flags-Media Influence-Owned Digital-3
MEDIAIOD_4,KBM-Flags-Media Influence-Owned Digital-4
MEDIAIOD_5,KBM-Flags-Media Influence-Owned Digital-5
MEDIAIOD_6,KBM-Flags-Media Influence-Owned Digital-6
MEDIAIOD_7,KBM-Flags-Media Influence-Owned Digital-7
MEDIAIOD_8,KBM-Flags-Media Influence-Owned Digital-8
MEDIAIOD_9,KBM-Flags-Media Influence-Owned Digital-9-Least Likely
MEDIAISM,KBM-Decile-Media Influence - Social Media
MEDIAISM_0,KBM-Flags-Media Influence-Social Media-0-Most Likely
MEDIAISM_1,KBM-Flags-Media Influence-Social Media-1
MEDIAISM_2,KBM-Flags-Media Influence-Social Media-2
MEDIAISM_3,KBM-Flags-Media Influence-Social Media-3
MEDIAISM_4,KBM-Flags-Media Influence-Social Media-4
MEDIAISM_5,KBM-Flags-Media Influence-Social Media-5
MEDIAISM_6,KBM-Flags-Media Influence-Social Media-6
MEDIAISM_7,KBM-Flags-Media Influence-Social Media-7
MEDIAISM_8,KBM-Flags-Media Influence-Social Media-8
MEDIAISM_9,KBM-Flags-Media Influence-Social Media-9-Least Likely
HWFOSL,KBM-Decile-Health & Wellness Shopping - Front of Store Loyalty
HWFOSL_0,KBM-Flags-Health & Wellness Shopping-Front of Store Loyalty-0-Most Likely
HWFOSL_1,KBM-Flags-Health & Wellness Shopping-Front of Store Loyalty-1
HWFOSL_2,KBM-Flags-Health & Wellness Shopping-Front of Store Loyalty-2
HWFOSL_3,KBM-Flags-Health & Wellness Shopping-Front of Store Loyalty-3
HWFOSL_4,KBM-Flags-Health & Wellness Shopping-Front of Store Loyalty-4
HWFOSL_5,KBM-Flags-Health & Wellness Shopping-Front of Store Loyalty-5
HWFOSL_6,KBM-Flags-Health & Wellness Shopping-Front of Store Loyalty-6
HWFOSL_7,KBM-Flags-Health & Wellness Shopping-Front of Store Loyalty-7
HWFOSL_8,KBM-Flags-Health & Wellness Shopping-Front of Store Loyalty-8
HWFOSL_9,KBM-Flags-Health & Wellness Shopping-Front of Store Loyalty-9-Least Likely
HWFOSS,KBM-Decile-Health & Wellness Shopping - Front of Store Spenders
HWFOSS_0,KBM-Flags-Health & Wellness Shopping-Front of Store Spenders-0-Most Likely
HWFOSS_1,KBM-Flags-Health & Wellness Shopping-Front of Store Spenders-1
HWFOSS_2,KBM-Flags-Health & Wellness Shopping-Front of Store Spenders-2
HWFOSS_3,KBM-Flags-Health & Wellness Shopping-Front of Store Spenders-3
HWFOSS_4,KBM-Flags-Health & Wellness Shopping-Front of Store Spenders-4
HWFOSS_5,KBM-Flags-Health & Wellness Shopping-Front of Store Spenders-5
HWFOSS_6,KBM-Flags-Health & Wellness Shopping-Front of Store Spenders-6
HWFOSS_7,KBM-Flags-Health & Wellness Shopping-Front of Store Spenders-7
HWFOSS_8,KBM-Flags-Health & Wellness Shopping-Front of Store Spenders-8
HWFOSS_9,KBM-Flags-Health & Wellness Shopping-Front of Store Spenders-9-Least Likely
HWRXLOYL,KBM-Decile-Health & Wellness Shopping - RX Loyalty
HWRXLOYL_0,KBM-Flags-Health & Wellness Shopping-RX Loyalty-0-Most Likely
HWRXLOYL_1,KBM-Flags-Health & Wellness Shopping-RX Loyalty-1
HWRXLOYL_2,KBM-Flags-Health & Wellness Shopping-RX Loyalty-2
HWRXLOYL_3,KBM-Flags-Health & Wellness Shopping-RX Loyalty-3
HWRXLOYL_4,KBM-Flags-Health & Wellness Shopping-RX Loyalty-4
HWRXLOYL_5,KBM-Flags-Health & Wellness Shopping-RX Loyalty-5
HWRXLOYL_6,KBM-Flags-Health & Wellness Shopping-RX Loyalty-6
HWRXLOYL_7,KBM-Flags-Health & Wellness Shopping-RX Loyalty-7
HWRXLOYL_8,KBM-Flags-Health & Wellness Shopping-RX Loyalty-8
HWRXLOYL_9,KBM-Flags-Health & Wellness Shopping-RX Loyalty-9-Least Likely
MEDIAIP,KBM-Category-Media Influence Propensity
MEDIAIP_D,KBM-Flags-Media Influence Propensity-D-Digital
MEDIAIP_O,KBM-Flags-Media Influence Propensity-O-Owned
MEDIAIP_S,KBM-Flags-Media Influence Propensity-S-Social
RXNCDRUG,KBM-Category-RX - Reason for Non-Compilance
RXNCDRUG_A,KBM-Flags-RX-Reason for Non-Compilance-A-Prefer Alternative
RXNCDRUG_C,KBM-Flags-RX-Reason for Non-Compilance-C-Cost of Prescription
RXNCDRUG_D,KBM-Flags-RX-Reason for Non-Compilance-D- Dislike Prescription
RXNCDRUG_N,KBM-Flags-RX-Reason for Non-Compilance-N- Just Dont
RXPURCHA,KBM-Category-RX - Purchase Channel
RXPURCHA_D,KBM-Flags-RX-Purchase Channel-D-Drug Store
RXPURCHA_G,KBM-Flags-RX-Purchase Channel-G-Grocery Store
RXPURCHA_M,KBM-Flags-RX-Purchase Channel-M-Mail Order
RXPURCHA_R,KBM-Flags-RX-Purchase Channel-R-Retail Store
INVCASH,KBM-Decile-Investment Products - Cash
INVCASH_0,KBM-Flags-Investment Products-Cash-0-Most Likely
INVCASH_1,KBM-Flags-Investment Products-Cash-1
INVCASH_2,KBM-Flags-Investment Products-Cash-2
INVCASH_3,KBM-Flags-Investment Products-Cash-3
INVCASH_4,KBM-Flags-Investment Products-Cash-4
INVCASH_5,KBM-Flags-Investment Products-Cash-5
INVCASH_6,KBM-Flags-Investment Products-Cash-6
INVCASH_7,KBM-Flags-Investment Products-Cash-7
INVCASH_8,KBM-Flags-Investment Products-Cash-8
INVCASH_9,KBM-Flags-Investment Products-Cash-9-Least Likely
INVEQ,KBM-Decile-Investment Products - Equities
INVEQ_0,KBM-Flags-Investment Products-Equities-0-Most Likely
INVEQ_1,KBM-Flags-Investment Products-Equities-1
INVEQ_2,KBM-Flags-Investment Products-Equities-2
INVEQ_3,KBM-Flags-Investment Products-Equities-3
INVEQ_4,KBM-Flags-Investment Products-Equities-4
INVEQ_5,KBM-Flags-Investment Products-Equities-5
INVEQ_6,KBM-Flags-Investment Products-Equities-6
INVEQ_7,KBM-Flags-Investment Products-Equities-7
INVEQ_8,KBM-Flags-Investment Products-Equities-8
INVEQ_9,KBM-Flags-Investment Products-Equities-9-Least Likely
INVEXPL,KBM-Category-Investor Experience Level
INVEXPL_B,KBM-Flags-Investor Experience Level-B-Beginner
INVEXPL_E,KBM-Flags-Investor Experience Level-E-Experienced
INVEXPL_M,KBM-Flags-Investor Experience Level-M-Moderate
INVINSUR,KBM-Decile-Investment Products - Insurance
INVINSUR_0,KBM-Flags-Investment Products-Insurance-0-Most Likely
INVINSUR_1,KBM-Flags-Investment Products-Insurance-1
INVINSUR_2,KBM-Flags-Investment Products-Insurance-2
INVINSUR_3,KBM-Flags-Investment Products-Insurance-3
INVINSUR_4,KBM-Flags-Investment Products-Insurance-4
INVINSUR_5,KBM-Flags-Investment Products-Insurance-5
INVINSUR_6,KBM-Flags-Investment Products-Insurance-6
INVINSUR_7,KBM-Flags-Investment Products-Insurance-7
INVINSUR_8,KBM-Flags-Investment Products-Insurance-8
INVINSUR_9,KBM-Flags-Investment Products-Insurance-9-Least Likely
INVPROF,KBM-Decile-Investor Channel - Professional
INVPROF_0,KBM-Flags-Investor Channel-Professional-0-Most Likely
INVPROF_1,KBM-Flags-Investor Channel-Professional-1
INVPROF_2,KBM-Flags-Investor Channel-Professional-2
INVPROF_3,KBM-Flags-Investor Channel-Professional-3
INVPROF_4,KBM-Flags-Investor Channel-Professional-4
INVPROF_5,KBM-Flags-Investor Channel-Professional-5
INVPROF_6,KBM-Flags-Investor Channel-Professional-6
INVPROF_7,KBM-Flags-Investor Channel-Professional-7
INVPROF_8,KBM-Flags-Investor Channel-Professional-8
INVPROF_9,KBM-Flags-Investor Channel-Professional-9-Least Likely
INVRECOM,KBM-Decile-Investment Products - Real Estate/Commodities
INVRECOM_0,KBM-Flags-Investment Products-Real Estate/Commodities-0-Most Likely
INVRECOM_1,KBM-Flags-Investment Products-Real Estate/Commodities-1
INVRECOM_2,KBM-Flags-Investment Products-Real Estate/Commodities-2
INVRECOM_3,KBM-Flags-Investment Products-Real Estate/Commodities-3
INVRECOM_4,KBM-Flags-Investment Products-Real Estate/Commodities-4
INVRECOM_5,KBM-Flags-Investment Products-Real Estate/Commodities-5
INVRECOM_6,KBM-Flags-Investment Products-Real Estate/Commodities-6
INVRECOM_7,KBM-Flags-Investment Products-Real Estate/Commodities-7
INVRECOM_8,KBM-Flags-Investment Products-Real Estate/Commodities-8
INVRECOM_9,KBM-Flags-Investment Products-Real Estate/Commodities-9-Least Likely
INVRETIR,KBM-Decile-Investment Products - Retirement
INVRETIR_0,KBM-Flags-Investment Products-Retirement-0-Most Likely
INVRETIR_1,KBM-Flags-Investment Products-Retirement-1
INVRETIR_2,KBM-Flags-Investment Products-Retirement-2
INVRETIR_3,KBM-Flags-Investment Products-Retirement-3
INVRETIR_4,KBM-Flags-Investment Products-Retirement-4
INVRETIR_5,KBM-Flags-Investment Products-Retirement-5
INVRETIR_6,KBM-Flags-Investment Products-Retirement-6
INVRETIR_7,KBM-Flags-Investment Products-Retirement-7
INVRETIR_8,KBM-Flags-Investment Products-Retirement-8
INVRETIR_9,KBM-Flags-Investment Products-Retirement-9-Least Likely
INVRISKT,KBM-Category-Investment Risk Tolerance
INVRISKT_H,KBM-Flags-Investment Risk Tolerance-H-High
INVRISKT_L,KBM-Flags-Investment Risk Tolerance-L-Low
INVRISKT_M,KBM-Flags-Investment Risk Tolerance-M-Moderate
INVSELFD,KBM-Decile-Investor Channel - Self Directed
INVSELFD_0,KBM-Flags-Investor Channel-Self Directed-0-Most Likely
INVSELFD_1,KBM-Flags-Investor Channel-Self Directed-1
INVSELFD_2,KBM-Flags-Investor Channel-Self Directed-2
INVSELFD_3,KBM-Flags-Investor Channel-Self Directed-3
INVSELFD_4,KBM-Flags-Investor Channel-Self Directed-4
INVSELFD_5,KBM-Flags-Investor Channel-Self Directed-5
INVSELFD_6,KBM-Flags-Investor Channel-Self Directed-6
INVSELFD_7,KBM-Flags-Investor Channel-Self Directed-7
INVSELFD_8,KBM-Flags-Investor Channel-Self Directed-8
INVSELFD_9,KBM-Flags-Investor Channel-Self Directed-9-Least Likely
LTMEDICR,KBM-Decile-Late to Medicare Index
LTMEDICR_0,KBM-Flags-Late to Medicare Index-0-Most Likely
LTMEDICR_1,KBM-Flags-Late to Medicare Index-1
LTMEDICR_2,KBM-Flags-Late to Medicare Index-2
LTMEDICR_3,KBM-Flags-Late to Medicare Index-3
LTMEDICR_4,KBM-Flags-Late to Medicare Index-4
LTMEDICR_5,KBM-Flags-Late to Medicare Index-5
LTMEDICR_6,KBM-Flags-Late to Medicare Index-6
LTMEDICR_7,KBM-Flags-Late to Medicare Index-7
LTMEDICR_8,KBM-Flags-Late to Medicare Index-8
LTMEDICR_9,KBM-Flags-Late to Medicare Index-9-Least Likely
SAVERSLT,KBM-Decile-Savers - Long Term
SAVERSLT_0,KBM-Flags-Savers-Long Term-0-Most Likely
SAVERSLT_1,KBM-Flags-Savers-Long Term-1
SAVERSLT_2,KBM-Flags-Savers-Long Term-2
SAVERSLT_3,KBM-Flags-Savers-Long Term-3
SAVERSLT_4,KBM-Flags-Savers-Long Term-4
SAVERSLT_5,KBM-Flags-Savers-Long Term-5
SAVERSLT_6,KBM-Flags-Savers-Long Term-6
SAVERSLT_7,KBM-Flags-Savers-Long Term-7
SAVERSLT_8,KBM-Flags-Savers-Long Term-8
SAVERSLT_9,KBM-Flags-Savers-Long Term-9-Least Likely
SAVERSST,KBM-Decile-Savers - Short Term
SAVERSST_0,KBM-Flags-Savers-Short Term-0-Most Likely
SAVERSST_1,KBM-Flags-Savers-Short Term-1
SAVERSST_2,KBM-Flags-Savers-Short Term-2
SAVERSST_3,KBM-Flags-Savers-Short Term-3
SAVERSST_4,KBM-Flags-Savers-Short Term-4
SAVERSST_5,KBM-Flags-Savers-Short Term-5
SAVERSST_6,KBM-Flags-Savers-Short Term-6
SAVERSST_7,KBM-Flags-Savers-Short Term-7
SAVERSST_8,KBM-Flags-Savers-Short Term-8
SAVERSST_9,KBM-Flags-Savers-Short Term-9-Least Likely
HIEMPINS,KBM-Decile-Employer Sponsored Health Insurance Index
HIEMPINS_0,KBM-Flags-Employer Sponsored Health Insurance Index-0-Most Likely
HIEMPINS_1,KBM-Flags-Employer Sponsored Health Insurance Index-1
HIEMPINS_2,KBM-Flags-Employer Sponsored Health Insurance Index-2
HIEMPINS_3,KBM-Flags-Employer Sponsored Health Insurance Index-3
HIEMPINS_4,KBM-Flags-Employer Sponsored Health Insurance Index-4
HIEMPINS_5,KBM-Flags-Employer Sponsored Health Insurance Index-5
HIEMPINS_6,KBM-Flags-Employer Sponsored Health Insurance Index-6
HIEMPINS_7,KBM-Flags-Employer Sponsored Health Insurance Index-7
HIEMPINS_8,KBM-Flags-Employer Sponsored Health Insurance Index-8
HIEMPINS_9,KBM-Flags-Employer Sponsored Health Insurance Index-9-Least Likely
HLTHUNIN,KBM-Number-Healthcare Uninsured Estimate Percent
EIPHARMS,KBM-Decile-Engagement Index - Pharmacists
EIPHARMS_0,KBM-Flags-Engagement Index-Pharmacists-0-Most Likely
EIPHARMS_1,KBM-Flags-Engagement Index-Pharmacists-1
EIPHARMS_2,KBM-Flags-Engagement Index-Pharmacists-2
EIPHARMS_3,KBM-Flags-Engagement Index-Pharmacists-3
EIPHARMS_4,KBM-Flags-Engagement Index-Pharmacists-4
EIPHARMS_5,KBM-Flags-Engagement Index-Pharmacists-5
EIPHARMS_6,KBM-Flags-Engagement Index-Pharmacists-6
EIPHARMS_7,KBM-Flags-Engagement Index-Pharmacists-7
EIPHARMS_8,KBM-Flags-Engagement Index-Pharmacists-8
EIPHARMS_9,KBM-Flags-Engagement Index-Pharmacists-9-Least Likely
ESTDEB30,KBM-Num-Estimated Household Debt Level
ESTDEB30_A,KBM-Flags-Estimated Household Debt Level = A - $0
ESTDEB30_B,"KBM-Flags-Estimated Household Debt Level = B - $1 - $1,499"
ESTDEB30_C,"KBM-Flags-Estimated Household Debt Level = C - $1,500 - $3,499"
ESTDEB30_D,"KBM-Flags-Estimated Household Debt Level = D - $3,500 - $7,499"
ESTDEB30_E,"KBM-Flags-Estimated Household Debt Level = E - $7,500 - $14,999"
ESTDEB30_F,"KBM-Flags-Estimated Household Debt Level = F - $15,000 - $24,999"
ESTDEB30_G,"KBM-Flags-Estimated Household Debt Level = G - $25,000 - $39,999"
ESTDEB30_H,"KBM-Flags-Estimated Household Debt Level = H - $40,000 - $74,999"
ESTDEB30_I,"KBM-Flags-Estimated Household Debt Level = I - $75,000+"
ESTDEB30_rc,KBM-Category - Estimated Household Debt Level - Recoded
AIRCRAFT_Y,KBM-Flag-Indicates the Individual owns an aircraft registered in the United States
BANK_Y,KBM-Flag-Indicates an Individual within the household has filed for bankruptcy
BNKI_Y,KBM-Flag-Indicates an Individual has filed for bankruptcy
CD,KBM-Category-Congressional District
DaysSinceLastBankcardIss,HUM-NUM-Number of days since last bankcard issued date
DaysSinceLastBankruptcy,HUM-NUM-Number of days since last bankruptcy filing date
DESTGRP,KBM-Category-Organizes the 45 Digital Destinations to provide a higher level view of an Individuals online destinations and behaviors
DESTGRP_01,KBM-Flag-Destgrp = 01 - Group 1 - Low Cost Social Networking
DESTGRP_02,KBM-Flag-Destgrp = 02 - Group 2 - Career-Oriented Online Shoppers
DESTGRP_03,KBM-Flag-Destgrp = 03 - Group 3 - Social Extremes
DESTGRP_04,KBM-Flag-Destgrp = 04 - Group 4 - Teens at the Stick
DESTGRP_05,KBM-Flag-Destgrp = 05 - Group 5 - Well-Read Executives
DESTGRP_06,KBM-Flag-Destgrp = 06 - Group 6 - Online in the Hearth Room
DESTGRP_07,KBM-Flag-Destgrp = 07 - Group 7 - Middle-Aged with Hobbies
DESTGRP_08,KBM-Flag-Destgrp = 08 - Group 8 - Social Network Games & Shopping
DESTGRP_09,KBM-Flag-Destgrp = 09 - Group 9 - Multi-Dimensional Youngsters
DESTGRP_10,KBM-Flag-Destgrp = 10 - Group 10 - We Dont Shop Online
DESTGRP_11,KBM-Flag-Destgrp = 11 - Group 11 - Shopping Seniors
DESTGRP_12,KBM-Flag-Destgrp = 12 - Group 12 - Retiring Rich Online
DESTGRP_13,KBM-Flag-Destgrp = 13 - Group 13 - White Collar Commerce
DESTGRP_14,KBM-Flag-Destgrp = 14 - Group 14 - Enjoying Retirement
DESTGRP_15,KBM-Flag-Destgrp = 15 - Group 15 - At Home in Jammies
DEVICE,KBM-Decile-Model Predicts how evolved a household is digitally and their attitudes towards adopting other services and devices
DEVICE_01,KBM-Flag-Device = 01 - Struggling Suburban Old-Fashioned
DEVICE_02,KBM-Flag-Device = 02 - Aspiring Urban Early Adopters
DEVICE_03,KBM-Flag-Device = 03 - Comfortable Rural Traditional
DEVICE_04,KBM-Flag-Device = 04 - Struggling Rural Tried & True
DEVICE_05,KBM-Flag-Device = 05 - Comfortable Rural Late Adopters
DEVICE_06,KBM-Flag-Device = 06 - Comfortable Urban Adventurers
DEVICE_07,KBM-Flag-Device = 07 - Comfortable Suburban Tried & True
DEVICE_08,KBM-Flag-Device = 08 - Aspiring Rural Early Adopters
DEVICE_09,KBM-Flag-Device = 09 - Struggling Rural Minimalists
DEVICE_10,KBM-Flag-Device = 10 - Aspiring Suburban Early Adopters
DEVICE_11,KBM-Flag-Device = 11 - Comfortable Rural Tried & True
DEVICE_12,KBM-Flag-Device = 12 - Comfortable Suburban Adventurers
DEVICE_13,KBM-Flag-Device = 13 - Wealthy Urban Early Adopters
DEVICE_14,KBM-Flag-Device = 14 - Wealthy Urban Tried & True
DEVICE_15,KBM-Flag-Device = 15 - Comfortable Urban Early Adopters
DEVICE_16,KBM-Flag-Device = 16 - Comfortable Urban Second Wave
DEVICE_17,KBM-Flag-Device = 17 - Struggling Rural Traditional
DEVICE_18,KBM-Flag-Device = 18 - Affluent Urban Tried & True
DIANIMAL_P,KBM-Flag-Presence of Donor - Animal - Probable
DIANIMAL_Y,KBM-Flag-Presence of Donor - Animal - Yes
DIARTS_P,KBM-Flag-Presence of Donor - Arts - Probable
DIARTS_Y,KBM-Flag-Presence of Donor - Arts - Yes
DICHLD_P,KBM-Flag-Presence of Donor - Children - Probable
DICHLD_Y,KBM-Flag-Presence of Donor - Children - Yes
DICNSRV_P,KBM-Flag-Presence of Donor - Conservative - Probable
DICNSRV_Y,KBM-Flag-Presence of Donor - Conservative - Yes
DIENV_P,KBM-Flag-Presence of Donor - Environment - Probable
DIENV_Y,KBM-Flag-Presence of Donor - Environment - Yes
DIHLTH_P,KBM-Flag-Presence of Donor - Health - Probable
DIHLTH_Y,KBM-Flag-Presence of Donor - Health - Yes
DIHUMN_P,KBM-Flag-Presence of Donor - Humanitarian - Probable
DIHUMN_Y,KBM-Flag-Presence of Donor - Humanitarian - Yes
DILIB_P,KBM-Flag-Presence of Donor - Liberal - Probable
DILIB_Y,KBM-Flag-Presence of Donor - Liberal - Yes
DIREL_P,KBM-Flag-Presence of Donor - Religious - Probable
DIREL_Y,KBM-Flag-Presence of Donor - Religious - Yes
DIVET_P,KBM-Flag-Presence of Donor - Veterans - Probable
DIVET_Y,KBM-Flag-Presence of Donor - Veterans - Yes
DUALELIG,KBM-Decile-Model Predicts an Individual aged 64 + to be eligible for both Medicare and Medicaid Individuals with ages under 64 will be assigned a value of 9
DUALELIG_0,KBM-Flag-Dual Eligible Index = 0 - Most Likely
DUALELIG_1,KBM-Flag-Dual Eligible Index = 1
DUALELIG_2,KBM-Flag-Dual Eligible Index = 2
DUALELIG_3,KBM-Flag-Dual Eligible Index = 3
DUALELIG_4,KBM-Flag-Dual Eligible Index = 4
DUALELIG_5,KBM-Flag-Dual Eligible Index = 5
DUALELIG_6,KBM-Flag-Dual Eligible Index = 6
DUALELIG_7,KBM-Flag-Dual Eligible Index = 7
DUALELIG_8,KBM-Flag-Dual Eligible Index = 8
DUALELIG_9,KBM-Flag-Dual Eligible Index = 9 - Least Likely
EDUC_Y,KBM-Flag-Seasonal Education Address
HIDIRPAY,KBM-Decile-Model Predicts Individuals aged 18 - 64 likely to purchase private health insurance directly from the insurance provider (not their employer)
HIDIRPAY_0,KBM-Flag-Health Insurance Direct Pay Index = 0 - Most Likely
HIDIRPAY_1,KBM-Flag-Health Insurance Direct Pay Index = 1
HIDIRPAY_2,KBM-Flag-Health Insurance Direct Pay Index = 2
HIDIRPAY_3,KBM-Flag-Health Insurance Direct Pay Index = 3
HIDIRPAY_4,KBM-Flag-Health Insurance Direct Pay Index = 4
HIDIRPAY_5,KBM-Flag-Health Insurance Direct Pay Index = 5
HIDIRPAY_6,KBM-Flag-Health Insurance Direct Pay Index = 6
HIDIRPAY_7,KBM-Flag-Health Insurance Direct Pay Index = 7
HIDIRPAY_8,KBM-Flag-Health Insurance Direct Pay Index = 8
HIDIRPAY_9,KBM-Flag-Health Insurance Direct Pay Index = 9 - Least Likely
IC_Y,KBM-Flag-Survey-Collectibles
ICAT_Y,KBM-Flag-Survey-Own A Cat
ICCO_Y,KBM-Flag-Survey-Collectibles - Coins
ICDO_Y,KBM-Flag-Survey-Collectibles - Dolls
ICFA_Y,KBM-Flag-Survey-Collectibles - Fine Arts
ICFI_Y,KBM-Flag-Survey-Collectibles - Figurines
ICOT_Y,KBM-Flag-Survey-Collectibles - Other Types of Items
ICPL_Y,KBM-Flag-Survey-Collectibles - Plates
ICSP_Y,KBM-Flag-Survey-Collectibles - Sports Memorabilia
ICST_Y,KBM-Flag-Survey-Collectibles - Stamps
IDAC_Y,KBM-Flag-Survey-Donor - Arts/Cultural
IDAN_Y,KBM-Flag-Survey-Donor - Animal
IDCH_Y,KBM-Flag-Survey-Donor - Children
IDEN_Y,KBM-Flag-Survey-Donor - Environment or Wildlife
IDHE_Y,KBM-Flag-Survey-Donor - Health
IDLOW_Y,KBM-Flag-Survey-Diet Concerns - Low-Fat/Healthy Foods
IDNAT_Y,KBM-Flag-Survey-Diet Concerns - Eat Natural/Herbal/Organic
IDNR_Y,KBM-Flag-Survey-Donor
IDOG_Y,KBM-Flag-Survey-Own A Dog
IDOT_Y,KBM-Flag-Survey-Donor - Other Non Specific Causes
IDPC_Y,KBM-Flag-Survey-Donor - Political/Conservative Causes
IDPL_Y,KBM-Flag-Survey-Donor - Political/Liberal Causes
IDRE_Y,KBM-Flag-Survey-Donor - Religious Causes
IDVE_Y,KBM-Flag-Survey-Donor - Veterans Causes
IDVIT_Y,KBM-Flag-Survey-Diet Concerns - Vitamin Supplements
IDWGHT_Y,KBM-Flag-Survey-Diet Concerns - Lose Weight
IGC_Y,KBM-Flag-Survey-Grandchildren
IHBA_Y,KBM-Flag-Survey-Hobby - Baking
IHBEAD_Y,KBM-Flag-Survey-Hobby - Beading/Jewelry Making
IHBI_Y,KBM-Flag-Survey-Hobby - Bird Watching/Feeding
IHCA_Y,KBM-Flag-Survey-Hobby - Casino Gambling
IHCAC_Y,KBM-Flag-Survey-Hobby - Career advancement courses
IHCF_Y,KBM-Flag-Survey-Hobby - Crafts
IHCG_Y,KBM-Flag-Survey-Hobby - Gourmet Cooking
IHCI_Y,KBM-Flag-Survey-Hobby - Cigar Smoking
IHCLF_Y,KBM-Flag-Survey-Hobby - Cooking-low fat
IHCO_Y,KBM-Flag-Survey-Hobby - Cooking
IHCR_Y,KBM-Flag-Survey-Hobby - Cars or Car Repair
IHDIY_Y,KBM-Flag-Survey-Hobby - Do-it-yourself
IHEX_Y,KBM-Flag-Survey-Hobby - Exercise 3 or more times per week
IHGA_Y,KBM-Flag-Survey-Hobby - Gardening
